Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.12729E-4,6.262136907,0.042502477,0.031178404,0,0
2.2433E-4,6.503008643,0.044767675,0.030082678,0,0
2.39539E-4,6.759170996,0.047729119,0.028986951,0,0
2.6017E-4,7.010693934,0.051731927,0.027990836,0,0
2.82301E-4,7.255455926,0.056006795,0.027094332,0,0
3.11327E-4,7.520957255,0.061584591,0.026197828,0,0
3.56318E-4,7.785425111,0.070164996,0.025400936,0,0
3.69515E-4,8.003759195,0.072667036,0.024803267,0,0
3.83565E-4,8.266499048,0.0753232,0.024105987,0,0
4.05837E-4,8.501227394,0.079518286,0.023508318,0,0
4.25085E-4,8.750824246,0.083128567,0.022910648,0,0
4.54888E-4,9.016253591,0.088690624,0.022312979,0,0
5.05643E-4,9.257677196,0.098085225,0.021814922,0,0
5.23118E-4,9.515292533,0.101297325,0.021316864,0,0
5.6856E-4,9.789641185,0.109596793,0.020818807,0,0
5.93213E-4,10.021725172,0.11406722,0.020420361,0,0
6.0162E-4,10.260979174,0.115586454,0.020021915,0,0
6.12957E-4,10.503702773,0.117631128,0.019623468,0,0
6.28204E-4,10.752739863,0.120373758,0.019225022,0,0
6.65125E-4,11.010802506,0.126979318,0.018826576,0,0
7.10698E-4,11.287849474,0.135064779,0.01842813,0,0
7.51769E-4,11.509216891,0.142287055,0.018129296,0,0
7.90155E-4,11.817959016,0.148982802,0.01773085,0,0
8.31284E-4,12.061615557,0.156099088,0.017432015,0,0
8.49224E-4,12.314549181,0.15918447,0.017133181,0,0
9.61065E-4,12.587383955,0.178166167,0.016834346,0,0
9.80276E-4,12.782288041,0.181383362,0.016635123,0,0
1.00375E-3,13.082371953,0.185296515,0.016336288,0,0
1.05688E-3,13.290322138,0.194086647,0.016137065,0,0
1.06918E-3,13.503213039,0.196108021,0.015937842,0,0
1.1454E-3,13.834575468,0.208521913,0.015639008,0,0
1.15765E-3,14.065674069,0.21049807,0.015439785,0,0
1.17341E-3,14.298887695,0.213034104,0.015240562,0,0
1.20339E-3,14.537097734,0.217836327,0.015041339,0,0
1.2236E-3,14.780922757,0.221057635,0.014842116,0,0
1.27836E-3,15.032961673,0.229717732,0.014642893,0,0
1.29985E-3,15.292293969,0.233090117,0.01444367,0,0
1.30335E-3,15.552963077,0.23363823,0.014244447,0,0
1.31734E-3,15.815314685,0.235822994,0.014045224,0,0
1.33446E-3,16.082135794,0.238489343,0.013846001,0,0
1.37093E-3,16.354178046,0.244139576,0.013646778,0,0
1.45357E-3,16.63747964,0.256784758,0.013447555,0,0
1.53601E-3,16.791080205,0.269189144,0.013347943,0,0
1.54897E-3,17.100174273,0.271121526,0.01314872,0,0
1.55228E-3,17.255402463,0.271613644,0.013049108,0,0
1.61577E-3,17.572558965,0.280994472,0.012849885,0.023809524,0
1.67921E-3,17.902930559,0.290246958,0.012650662,0.023809524,0
1.68942E-3,18.07187212,0.291724223,0.012551051,0.023809524,0
1.70397E-3,18.412309653,0.293826139,0.012351828,0.023809524,0
1.71697E-3,18.584006356,0.295697139,0.012252216,0.023809524,0
1.76095E-3,18.760101405,0.301993425,0.012152605,0.023809524,0
1.83608E-3,19.125950746,0.312618577,0.011953382,0.023809524,0
1.83817E-3,19.309767765,0.312911666,0.01185377,0.023809524,0
1.85581E-3,19.67953537,0.315381397,0.011654547,0.023809524,0
1.89345E-3,19.868880365,0.320622732,0.011554936,0.023809524,0
