Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.44304E-4,8.033403994,0.066804689,0.026806178,0,0
3.54884E-4,8.278593847,0.068785212,0.02610862,0,0
3.68796E-4,8.533013161,0.071383142,0.025411061,0,0
3.77274E-4,8.757504928,0.072962738,0.024813154,0,0
3.98037E-4,9.03016742,0.076819972,0.024115595,0,0
4.10181E-4,9.273389713,0.079068521,0.023517688,0,0
4.20331E-4,9.52229605,0.080943736,0.022919781,0,0
4.45543E-4,9.783742431,0.08558507,0.022321873,0,0
4.60916E-4,10.012934622,0.088403528,0.021823617,0,0
4.70846E-4,10.292900917,0.090219511,0.02122571,0,0
4.87928E-4,10.533398556,0.093335013,0.020727454,0,0
5.33976E-4,10.792572794,0.101680367,0.020229198,0,0
5.45351E-4,11.009001975,0.103730093,0.019830593,0,0
5.7148E-4,11.290792439,0.108420554,0.019332337,0,0
6.08658E-4,11.529757181,0.115052026,0.018933732,0,0
6.25852E-4,11.776987224,0.118102315,0.018535127,0,0
6.37582E-4,12.030613239,0.120177275,0.018136522,0,0
6.90059E-4,12.297246653,0.129400167,0.017737917,0,0
7.02069E-4,12.506672441,0.131497382,0.017438964,0,0
7.43531E-4,12.798090024,0.138698632,0.017040359,0,0
7.86484E-4,13.029520571,0.146095694,0.016741405,0,0
8.54463E-4,13.277628085,0.157673234,0.016442451,0,0
8.80532E-4,13.540900281,0.162071283,0.016143498,0,0
9.04176E-4,13.810733815,0.166040411,0.015844544,0,0
9.63422E-4,14.002455078,0.175903548,0.015645242,0,0
9.99169E-4,14.296526579,0.181798129,0.015346288,0,0
1.08246E-3,14.508805552,0.19536874,0.015146986,0,0
1.13444E-3,14.844531382,0.203725489,0.014848032,0,0
1.13645E-3,15.071668466,0.204045769,0.014648729,0,0
1.14691E-3,15.300451116,0.205716175,0.014449427,0,0
1.21113E-3,15.541128368,0.215894094,0.014250125,0,0
1.21934E-3,15.784345899,0.217185494,0.014050822,0,0
1.27521E-3,16.035163636,0.225919778,0.01385152,0,0
1.29699E-3,16.294384346,0.229297768,0.013652217,0,0
1.32094E-3,16.55666576,0.232994626,0.013452915,0,0
1.36139E-3,16.825921628,0.239199557,0.013253612,0,0
1.36792E-3,17.099158264,0.240197387,0.01305431,0,0
1.3999E-3,17.376361277,0.245061517,0.012855007,0,0
1.44023E-3,17.520384453,0.251150547,0.012755356,0,0
1.46902E-3,17.813344169,0.255467639,0.012556054,0,0
1.52046E-3,18.11297614,0.263118086,0.012356751,0,0
1.58649E-3,18.271625563,0.272825442,0.0122571,0,0
1.63179E-3,18.594327373,0.279409561,0.012057798,0,0
1.63548E-3,18.75787527,0.279943428,0.011958146,0,0
1.63986E-3,19.085461451,0.280575986,0.011758844,0,0
1.72649E-3,19.258109954,0.292983093,0.011659193,0,0
1.78643E-3,19.613860779,0.301443443,0.01145989,0,0
1.9051E-3,19.8043703,0.317892463,0.011360239,0,0
1.96701E-3,20.001071154,0.326320605,0.011260588,0,0
1.99706E-3,20.399645872,0.330373764,0.011061286,0,0
2.00499E-3,20.600144801,0.331439234,0.010961634,0,0
2.00933E-3,20.801077623,0.332021505,0.010861983,0,0
2.04139E-3,21.005216646,0.33630845,0.010762332,0,0
2.05157E-3,21.414602756,0.337663666,0.010563029,0,0
2.0691E-3,21.62151293,0.339991525,0.010463378,0,0
2.08669E-3,21.830182067,0.342318711,0.010363727,0,0
2.09682E-3,22.039864438,0.343655539,0.010264076,0,0
2.10142E-3,22.250005993,0.344260476,0.010164425,0,0
2.12135E-3,22.672720779,0.346880699,0.009965122,0,0
2.12855E-3,22.885576274,0.347824501,0.009865471,0,0
2.15352E-3,23.100928469,0.351086128,0.00976582,0,0
2.15388E-3,23.316315971,0.351132136,0.009666168,0,0
2.15899E-3,23.532214853,0.351798128,0.009566517,0,0
