Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.55232E-3,35.726824489,0.571682663,0.010172534,0.148148148,0.25
2.56421E-3,35.98324598,0.573372155,0.010072803,0.148148148,0.25
2.5876E-3,36.242006181,0.57667391,0.009973073,0.148148148,0.25
2.61603E-3,36.503609355,0.580653183,0.009873342,0.148148148,0.25
2.64611E-3,36.768220793,0.584823089,0.009773611,0.148148148,0.25
2.64702E-3,37.032922379,0.584947405,0.009673881,0.148148148,0.25
2.72378E-3,37.305300026,0.595397525,0.00957415,0.148148148,0.25
2.72833E-3,37.578133092,0.596009194,0.009474419,0.148148148,0.25
2.75676E-3,37.85380946,0.599807153,0.009374688,0.148148148,0.25
2.77605E-3,38.131414463,0.602362995,0.009274958,0.148148148,0.25
2.79973E-3,38.411387061,0.605478244,0.009175227,0.185185185,0.25
2.81753E-3,38.693139905,0.60780458,0.009075496,0.185185185,0.25
2.83396E-3,38.976536141,0.609939906,0.008975765,0.185185185,0.25
2.84386E-3,39.260922361,0.611220616,0.008876035,0.185185185,0.25
2.87269E-3,39.548191266,0.614925953,0.008776304,0.185185185,0.25
2.88358E-3,39.836548991,0.616316292,0.008676573,0.185185185,0.25
2.9035E-3,40.126899076,0.618847396,0.008576843,0.185185185,0.25
2.93E-3,40.419899054,0.622187978,0.008477112,0.185185185,0.25
3.05218E-3,40.725117223,0.637216072,0.008377381,0.185185185,0.25
3.07399E-3,41.032516435,0.63983513,0.00827765,0.185185185,0.25
3.11004E-3,41.343520814,0.644122924,0.00817792,0.185185185,0.25
3.12622E-3,41.656143112,0.646030559,0.008078189,0.185185185,0.25
3.16268E-3,41.972411114,0.650291693,0.007978458,0.185185185,0.25
3.16574E-3,42.288985131,0.650647024,0.007878727,0.185185185,0.25
3.16642E-3,42.605627341,0.650726158,0.007778997,0.185185185,0.25
3.19966E-3,42.925592943,0.654561089,0.007679266,0.185185185,0.25
3.22011E-3,43.247603922,0.656900332,0.007579535,0.185185185,0.25
3.29245E-3,43.576848986,0.665047396,0.007479805,0.185185185,0.25
3.31992E-3,43.908840587,0.668089641,0.007380074,0.185185185,0.25
3.329E-3,44.241740908,0.669090104,0.007280343,0.185185185,0.25
3.35852E-3,44.577592701,0.672318794,0.007180612,0.185185185,0.25
3.37254E-3,44.914846535,0.673841466,0.007080882,0.185185185,0.25
3.39447E-3,45.254293841,0.676209482,0.006981151,0.185185185,0.25
3.45365E-3,45.599658655,0.682512471,0.00688142,0.185185185,0.25
3.72849E-3,45.972507537,0.710216155,0.006781689,0.185185185,0.25
3.78349E-3,46.350856175,0.715462555,0.006681959,0.185185185,0.25
3.79659E-3,46.730514747,0.716698074,0.006582228,0.185185185,0.25
3.80097E-3,47.110611679,0.717110334,0.006482497,0.185185185,0.25
3.83748E-3,47.494359329,0.720520453,0.006382767,0.185185185,0.25
3.84532E-3,47.878890916,0.721247348,0.006283036,0.185185185,0.25
3.87257E-3,48.266148274,0.723760094,0.006183305,0.185185185,0.25
3.88185E-3,48.654333578,0.724610342,0.006083574,0.185185185,0.25
3.88685E-3,49.043019011,0.725067509,0.005983844,0.185185185,0.25
3.97242E-3,49.440261122,0.732772613,0.005884113,0.222222222,0.25
3.99974E-3,49.840235219,0.735186936,0.005784382,0.222222222,0.25
4.03848E-3,50.244083675,0.738573449,0.005684651,0.222222222,0.25
4.22359E-3,50.666442849,0.754165149,0.005584921,0.222222222,0.25
4.25854E-3,51.092297169,0.757003038,0.00548519,0.222222222,0.25
4.41728E-3,51.534024901,0.769484803,0.005385459,0.222222222,0.25
4.54336E-3,51.988361323,0.77894088,0.005285729,0.222222222,0.25
4.6628E-3,52.454640918,0.787539849,0.005185998,0.222222222,0.25
4.75894E-3,52.930535212,0.79421869,0.005086267,0.259259259,0.25
4.91878E-3,53.422412997,0.804860212,0.004986536,0.259259259,0.25
4.91971E-3,53.914383761,0.804920478,0.004886806,0.259259259,0.25
5.05129E-3,54.41951275,0.813264143,0.004787075,0.259259259,0.25
5.05462E-3,54.924975057,0.8134708,0.004687344,0.259259259,0.25
5.27831E-3,55.452806524,0.82682953,0.004587613,0.259259259,0.25
5.27881E-3,55.980687943,0.826858264,0.004487883,0.259259259,0.25
5.29672E-3,56.510360162,0.827885247,0.004388152,0.259259259,0.25
5.5989E-3,57.070250313,0.844324119,0.004288421,0.259259259,0.25
5.61428E-3,57.631678192,0.845117346,0.004188691,0.259259259,0.25
5.68294E-3,58.199972538,0.848610337,0.00408896,0.296296296,0.25
5.68755E-3,58.768727518,0.848841823,0.003989229,0.296296296,0.25
6.12692E-3,59.381419094,0.869370175,0.003889498,0.333333333,0.25
6.26108E-3,60.007527097,0.875064499,0.003789768,0.37037037,0.25
6.43159E-3,60.650685801,0.881944548,0.003690037,0.37037037,0.25
6.59342E-3,61.310027665,0.888123756,0.003590306,0.37037037,0.25
6.60905E-3,61.970932267,0.888703054,0.003490575,0.407407407,0.25
6.66984E-3,62.637916193,0.890928237,0.003390845,0.407407407,0.25
6.83961E-3,63.321876779,0.896909335,0.003291114,0.407407407,0.25
6.84927E-3,64.00680413,0.897239893,0.003191383,0.407407407,0.25
6.90948E-3,64.697752405,0.899274857,0.003091653,0.407407407,0.25
7.1324E-3,65.410992805,0.906464593,0.002991922,0.444444444,0.25
7.25122E-3,66.13611463,0.910084581,0.002892191,0.444444444,0.25
7.64377E-3,66.900491931,0.921077917,0.00279246,0.481481481,0.25
7.73683E-3,67.674174922,0.923480381,0.00269273,0.481481481,0.25
7.78794E-3,68.452969126,0.92476869,0.002592999,0.518518519,0.25
7.82956E-3,69.235925102,0.92580165,0.002493268,0.555555556,0.25
7.83555E-3,69.272342055,0.925949078,0.002393537,0.555555556,0.25
7.96043E-3,70.031968283,0.928958398,0.002393537,0.555555556,0.375
8.06824E-3,70.838792036,0.931457628,0.002293807,0.555555556,0.375
8.07741E-3,71.64653264,0.931666077,0.002194076,0.592592593,0.375
8.52222E-3,72.353639697,0.941053018,0.002094345,0.592592593,0.375
8.61963E-3,72.508495584,0.942930069,0.002094345,0.592592593,0.5
9.27814E-3,73.436309086,0.954143407,0.001994615,0.592592593,0.5
9.32843E-3,73.826984525,0.954903222,0.001894884,0.592592593,0.5
9.39914E-3,74.37622289,0.95595018,0.001894884,0.592592593,0.625
9.60627E-3,75.336849682,0.958879292,0.001795153,0.592592593,0.625
9.60917E-3,76.297766422,0.958918881,0.001695422,0.592592593,0.625
1.0722E-2,77.369968812,0.971615225,0.001595692,0.62962963,0.75
1.11405E-2,78.484020403,0.975299387,0.001495961,0.62962963,0.75
1.15151E-2,79.635526014,0.978189223,0.00139623,0.666666667,0.75
1.20295E-2,80.038433102,0.981615446,0.001296499,0.666666667,0.75
1.31294E-2,80.899899689,0.987242502,0.001296499,0.666666667,0.875
1.33389E-2,82.289458693,0.988100141,0.001196769,0.666666667,1
1.33746E-2,83.626916102,0.988240466,0.001097038,0.703703704,1
1.38536E-2,85.012273323,0.989970416,0.000997307,0.740740741,1
1.41992E-2,86.432197112,0.991058463,0.000897577,0.777777778,1
1.43403E-2,87.866226836,0.991467802,0.000797846,0.814814815,1
1.46038E-2,89.326602022,0.992182802,0.000698115,0.814814815,1
1.49845E-2,90.825056869,0.993111703,0.000598384,0.814814815,1
1.5122E-2,92.337258163,0.993419191,0.000498654,0.814814815,1
1.70629E-2,94.043548419,0.996546508,0.000398923,0.851851852,1
1.90381E-2,95.947356314,0.998208195,0.000299192,0.888888889,1
1.95313E-2,97.900490427,0.998479012,0.000199461,0.925925926,1
2.09951E-2,100,0.999064717,0.000099731,0.962962963,1
2.09951E-2,100,0.999064717,0.000099731,1,1
